BP0015 Student Visa Grant Rates Report,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Age Group,(All),,,,,,,,,,,,,,,,,,,,,
Citizenship Country,(All),,,,,,,,,,,,,,,,,,,,,
Client Location,(All),,,,,,,,,,,,,,,,,,,,,
Education Provider Registered State,(All),,,,,,,,,,,,,,,,,,,,,
Financial Year Quarter,(All),,,,,,,,,,,,,,,,,,,,,
Gender,(All),,,,,,,,,,,,,,,,,,,,,
Lodgement Channel,(All),,,,,,,,,,,,,,,,,,,,,
Month,(All),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Sum of Grant Rate,,Financial Year of Decision,,,,,,,,,,,,,,,,,,,,
Applicant Type,Sector,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25,2025-26 to 31 May 2026
Primary,Foreign Affairs or Defence Sector,0.9944153577661431,0.9929052855622561,0.9924098671726755,0.9941291585127201,0.9915503306392358,0.9907223326706428,0.987602215774202,0.9955882352941177,0.9916915210907542,0.995153117426746,0.9924004192872118,0.9919839679358717,0.9963129864809505,0.9970588235294118,0.9946008484381026,0.970954356846473,0.9788633161108502,0.9772727272727273,0.9931072511717673,0.995045632333768,0.9931012856694889
,Higher Education Sector,0.9616770969239955,0.9709622156657467,0.9636108582927664,0.9572863304927691,0.9453014067116462,0.9605196250563662,0.9297417098397143,0.9466854677611589,0.9420072052079749,0.9220936042638241,0.9196375734781637,0.9528850107079521,0.9507851012832289,0.942704472295055,0.9448386815160321,0.963761353220565,0.9604357348209763,0.875108418644993,0.8423320817688777,0.919311786174228,0.8479688007799805
,Independent ELICOS Sector,0.972382443943619,0.971111710375514,0.961553999461352,0.9295720379799092,0.9192032422178149,0.9029079712624016,0.8951270069915329,0.9265241597360643,0.9384615384615385,0.9369567878565308,0.9324726911618669,0.8965343324447006,0.8738791709539909,0.8980874843433857,0.9261979399910434,0.947920569501686,0.850390238540178,0.9119646362798648,0.810244470314319,0.7881342194845193,0.785155872985233
,Non-Award Sector,0.996217253839205,0.9956274843838728,0.9885909594184759,0.9862029167978177,0.985777045579352,0.9904950725989854,0.9906132279379979,0.995169935795488,0.9967779288123647,0.9968205983529657,0.9975330140763314,0.9957177615571776,0.9958293384467881,0.9947154670450653,0.9960762331838565,0.8591836734693877,0.9925956396544632,0.9941547277936963,0.9939670726206585,0.9953238656044336,0.993181185638742
,Postgraduate Research Sector,0.9769874476987448,0.9737623762376237,0.9725287097500563,0.9753798807462973,0.9797369356558834,0.9884057971014493,0.9837107020687408,0.9882558324075543,0.9874340676388458,0.9880897138437742,0.9805605054268589,0.983744732089103,0.9876765855124737,0.9792084886722111,0.988318863456985,0.9853280580283548,0.9730357142857143,0.980516409722879,0.9776890558947863,0.982722143864598,0.9612380952380952
,Schools Sector,0.9244772627577131,0.9519706584386097,0.8579594314330518,0.827398063948372,0.8972002871500359,0.9395822078155952,0.9142884596905929,0.945353504167953,0.9315991391410124,0.9104624715693708,0.9140601042624962,0.92574363364006,0.9148065188846837,0.918611559025715,0.9272045513317817,0.9775322283609577,0.9668099331423113,0.9418450964842717,0.9060645400593472,0.8634503758683033,0.9129304743339831
