ao,,,,
,,,,
,BP0015 Student Visa Grant Rates Report,,,
,Overview,,,
,This Student visa grant rates pivot table dataset provided by the Department of Home Affairs is for statistical and research purposes. ,,,
,,,,
,Report Period and Frequency,,,
,Report is released monthly and covers the period 2005-06 to the most recent month.,,,
,,,,
,Report Contents,,,
,Overview,,,
,Grant rates (Month),,,- Student Visa Applications Grant Rates (Pivot Table)
,Explanatory Notes,,,"- Explanatory Notes, Sources and Business Rules"
,Data Items and Terminology Used,,,- Definitions of data items and other terminology
,,,,
,Caveats and Quality Rating,,,
,1. Any publications or reports using this data must cite the Department of Home Affairs as the source. ,,,
,2. The Department of Home Affairs is not responsible for any analysis or transformation of the data by the requestor in any publications or reports.,,,
,3. The Department of Home Affairs is entitled to include a statement stating “The views expressed in this report are those of the authors and do not necessarily represent those of he Department of Home Affairs” in such a published report.,,,
,"4. To the extent permitted by law, the Commonwealth excludes all liability for loss or damage arising from the use of, or reliance on, the information contained in this workbook whether or not caused by any negligence ",,,
,    on the part of the Commonwealth or its agents.,,,
,,,,
,Further Information,,,
,Further information about these and related statistics are available from the Department of Home Affairs website:,,,
,www.homeaffairs.gov.au,,,
,,,,
,"To provide feedback or report issues, please contact:",,,
,Statistical Coordination,,,
,,,,
,,,,
,,,,
,© Commonwealth of Australia,,,
