BP0019 Number of Temporary Visa Holders in Australia ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Applicant Type,(All),,,,,,,,,,,,,,,,,,,,,,
Citizenship Country,(All),,,,,,,,,,,,,,,,,,,,,,
Visa Subclass,(All),,,,,,,,,,,,,,,,,,,,,,
Visa Type,(All),,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Sum of Visa Holders,Snapshot Date,,,,,,,,,,,,,,,,,,,,,,
Visa Category,2021-03-31 00:00:00,2021-06-30 00:00:00,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00,2026-06-30 00:00:00,2026-07-31 00:00:00
Bridging,359981,310760,330808,333357,373109,344832,369182,203494,193988,176856,191235,211570,286293,297372,338431,342506,379804,369627,405150,387572,432300,412925,412533
Crew and Transit,10455,9874,9026,10511,10174,12969,14200,23120,23832,13838,13724,29212,24244,15347,14286,25127,21200,13782,13236,21777,21289,12835,13450
Other Temporary,3944,3972,3761,3541,3368,3620,3993,3519,4351,4292,5216,3588,5112,5026,5772,3626,5698,5202,5640,3536,5341,4639,5861
Special Category,659254,663902,657823,656988,659961,668273,680047,666172,687137,697957,717718,701868,718590,717765,720364,701280,720692,736231,736306,709437,732210,731622,736509
Student,377785,374056,317915,315949,336844,357919,419325,456970,582758,568753,664178,547075,671359,608262,674723,522183,672982,592342,634670,477890,609678,528801,589923
Temporary Graduate,100325,88694,95042,95259,97089,98633,115029,144694,183175,199772,193277,179830,199897,216494,228312,195304,222190,228909,239324,225901,258974,271191,269674
Temporary Protection,18108,18328,18608,18801,18986,20774,23440,23447,22824,19790,15589,10554,7359,5727,4964,4481,3792,1736,1468,1726,1710,1734,1635
Temporary Resident (Other Employment),32494,35634,39205,45593,52304,57662,61497,106490,140378,170612,200294,162309,155128,128341,83409,65459,67929,61507,59740,53427,61609,60723,60345
Temporary Resident (Skilled Employment),104333,99029,95035,90737,95939,94573,105891,105319,124693,130004,139736,130451,153991,168725,183735,166830,204812,219710,233601,215768,255821,260579,263489
Visitor,28741,40810,38728,66583,144982,219607,271301,530283,347363,330449,339919,601051,404516,337845,333084,629075,373892,325969,357815,660545,357110,296625,326440
Working Holiday Maker,38630,36526,29821,19324,23021,40912,71704,112335,136621,137391,144685,170437,183668,173216,192631,206187,224015,210971,217624,225751,237015,225648,213985
Grand Total,1734050,1681585,1635772,1656643,1815777,1919774,2135609,2375843,2447120,2449714,2625571,2747945,2810157,2674120,2779711,2862058,2897006,2765986,2904574,2983330,2973057,2807322,2893844
